Away_Team,Away_Score,Home_Team,Home_Score,Year,day,tourney_game
Michigan,62,Villanova,79,2018,4/2/2018,0
Loyola (IL),57,Michigan,69,2018,3/31/2018,1
Villanova,95,Kansas,79,2018,3/31/2018,1
San Francisco,77,North Texas,88,2018,3/30/2018,1
UIC,71,Northern Colorado,76,2018,3/30/2018,1
Penn State,82,Utah,66,2018,3/29/2018,1
UIC,67,Liberty,51,2018,3/28/2018,1
San Francisco,55,North Texas,69,2018,3/28/2018,1
Sam Houston State,80,Northern Colorado,99,2018,3/28/2018,1
Western Kentucky,64,Utah,69,2018,3/27/2018,1
Penn State,75,Mississippi State,60,2018,3/27/2018,1
North Texas,62,San Francisco,72,2018,3/26/2018,1
Texas Tech,59,Villanova,71,2018,3/25/2018,1
Duke,81,Kansas,85,2018,3/25/2018,1
Central Michigan,71,Liberty,84,2018,3/24/2018,1
Loyola (IL),78,Kansas State,62,2018,3/24/2018,1
Florida State,54,Michigan,58,2018,3/24/2018,1
Clemson,76,Kansas,80,2018,3/23/2018,1
West Virginia,78,Villanova,90,2018,3/23/2018,1
Syracuse,65,Duke,69,2018,3/23/2018,1
Texas Tech,78,Purdue,65,2018,3/23/2018,1
Texas A&M,72,Michigan,99,2018,3/22/2018,1
Loyola (IL),69,Nevada,68,2018,3/22/2018,1
Sam Houston State,76,UTSA,69,2018,3/22/2018,1
Kansas State,61,Kentucky,58,2018,3/22/2018,1
Florida State,75,Gonzaga,60,2018,3/22/2018,1
Campbell,62,San Francisco,65,2018,3/22/2018,1
UIC,83,Austin Peay,81,2018,3/21/2018,1
Jacksonville State,68,North Texas,90,2018,3/21/2018,1
Western Kentucky,92,Oklahoma State,84,2018,3/21/2018,1
Utah,67,Saint Mary's (CA),58,2018,3/21/2018,1
Northern Colorado,86,San Diego,75,2018,3/21/2018,1
Penn State,85,Marquette,80,2018,3/20/2018,1
Mississippi State,79,Louisville,56,2018,3/20/2018,1
Jacksonville State,80,Central Arkansas,59,2018,3/19/2018,1
New Orleans,69,Campbell,71,2018,3/19/2018,1
Stanford,65,Oklahoma State,71,2018,3/19/2018,1
Eastern Michigan,62,Sam Houston State,69,2018,3/19/2018,1
Mercer,67,North Texas,96,2018,3/19/2018,1
LSU,71,Utah,95,2018,3/19/2018,1
Utah Valley,73,San Francisco,78,2018,3/19/2018,1
Washington,81,Saint Mary's (CA),85,2018,3/19/2018,1
Western Kentucky,79,USC,75,2018,3/19/2018,1
Mississippi State,78,Baylor,77,2018,3/18/2018,1
Butler,73,Purdue,76,2018,3/18/2018,1
Syracuse,55,Michigan State,53,2018,3/18/2018,1
Oregon,92,Marquette,101,2018,3/18/2018,1
Texas A&M,86,UNC,65,2018,3/18/2018,1
Drake,72,Northern Colorado,81,2018,3/18/2018,1
Nevada,75,Cincinnati,73,2018,3/18/2018,1
Middle Tennessee,68,Louisville,84,2018,3/18/2018,1
Clemson,84,Auburn,53,2018,3/18/2018,1
UMBC,43,Kansas State,50,2018,3/18/2018,1
Florida State,75,Xavier,70,2018,3/18/2018,1
Marshall,71,West Virginia,94,2018,3/18/2018,1
Penn State,73,Notre Dame,63,2018,3/17/2018,1
Alabama,58,Villanova,81,2018,3/17/2018,1
Rhode Island,62,Duke,87,2018,3/17/2018,1
Buffalo,75,Kentucky,95,2018,3/17/2018,1
Loyola (IL),63,Tennessee,62,2018,3/17/2018,1
Ohio State,84,Gonzaga,90,2018,3/17/2018,1
Seton Hall,79,Kansas,83,2018,3/17/2018,1
Florida,66,Texas Tech,69,2018,3/17/2018,1
Houston,63,Michigan,64,2018,3/17/2018,1
Portland State,64,San Diego,67,2018,3/17/2018,1
Cal State Fullerton,48,Purdue,74,2018,3/16/2018,1
Providence,69,Texas A&M,73,2018,3/16/2018,1
Marshall,81,Wichita State,75,2018,3/16/2018,1
Georgia State,53,Cincinnati,68,2018,3/16/2018,1
Lipscomb,66,UNC,84,2018,3/16/2018,1
Butler,79,Arkansas,62,2018,3/16/2018,1
Texas,83,Nevada,87,2018,3/16/2018,1
Murray State,68,West Virginia,85,2018,3/16/2018,1
Kansas State,69,Creighton,59,2018,3/16/2018,1
College of Charleston,58,Auburn,62,2018,3/16/2018,1
Bucknell,78,Michigan State,82,2018,3/16/2018,1
Central Michigan,98,Wofford,94,2018,3/16/2018,1
Texas Southern,83,Xavier,102,2018,3/16/2018,1
New Mexico State,68,Clemson,79,2018,3/16/2018,1
Florida State,67,Missouri,54,2018,3/16/2018,1
Syracuse,57,Texas Christian,52,2018,3/16/2018,1
UMBC,74,Virginia,54,2018,3/16/2018,1
Oklahoma,78,Rhode Island,83,2018,3/15/2018,1
Wright State,47,Tennessee,73,2018,3/15/2018,1
North Carolina-Greensboro,64,Gonzaga,68,2018,3/15/2018,1
Iona,67,Duke,89,2018,3/15/2018,1
Penn,60,Kansas,76,2018,3/15/2018,1
Loyola (IL),64,Miami (FL),62,2018,3/15/2018,1
South Dakota State,73,Ohio State,81,2018,3/15/2018,1
North Carolina State,83,Seton Hall,94,2018,3/15/2018,1
Radford,61,Villanova,87,2018,3/15/2018,1
San Diego State,65,Houston,67,2018,3/15/2018,1
Davidson,73,Kentucky,78,2018,3/15/2018,1
Stephen F. Austin,60,Texas Tech,70,2018,3/15/2018,1
Louisiana-Monroe,66,Austin Peay,80,2018,3/15/2018,1
Buffalo,89,Arizona,68,2018,3/15/2018,1
St. Bonaventure,62,Florida,77,2018,3/15/2018,1
Montana,47,Michigan,61,2018,3/15/2018,1
Alabama,86,Virginia Tech,83,2018,3/15/2018,1
Texas Southern,64,North Carolina Central,46,2018,3/14/2018,1
