kenpom_unique,team_fix
Abilene Christian,Abilene Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alabama A&M
Alabama St.,Alabama State
UAB,Alabama-Birmingham
Albany,Albany (NY)
Alcorn St.,Alcorn State
American,American
Appalachian St.,Appalachian State
Arizona,Arizona
Arizona St.,Arizona State
Arkansas,Arkansas
Arkansas St.,Arkansas State
Arkansas Little Rock,Arkansas-Little Rock
Little Rock,Arkansas-Little Rock
Arkansas Pine Bluff,Arkansas-Pine Bluff
Army,Army
Auburn,Auburn
Austin Peay,Austin Peay
Ball St.,Ball State
Baylor,Baylor
Belmont,Belmont
Bethune Cookman,Bethune-Cookman
Binghamton,Binghamton
Boise St.,Boise State
Boston College,Boston College
Boston University,Boston University
Bowling Green,Bowling Green State
Bradley,Bradley
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
BYU,BYU
Cal Poly,Cal Poly
Cal St. Bakersfield,Cal State Bakersfield
Cal St. Fullerton,Cal State Fullerton
Cal St. Northridge,Cal State Northridge
Campbell,Campbell
Canisius,Canisius
Centenary,Centenary (LA)
Central Arkansas,Central Arkansas
Central Connecticut,Central Connecticut
Central Michigan,Central Michigan
Charleston Southern,Charleston Southern
Charlotte,Charlotte
Chattanooga,Chattanooga
Chicago St.,Chicago State
Cincinnati,Cincinnati
The Citadel,Citadel
Clemson,Clemson
Cleveland St.,Cleveland State
Coastal Carolina,Coastal Carolina
Colgate,Colgate
College of Charleston,College of Charleston
Colorado,Colorado
Colorado St.,Colorado State
Columbia,Columbia
Coppin St.,Coppin State
Cornell,Cornell
Creighton,Creighton
Dartmouth,Dartmouth
Davidson,Davidson
Dayton,Dayton
Delaware,Delaware
Delaware St.,Delaware State
Denver,Denver
DePaul,DePaul
Detroit,Detroit
Drake,Drake
Drexel,Drexel
Duke,Duke
Duquesne,Duquesne
East Carolina,East Carolina
East Tennessee St.,ETSU
Eastern Illinois,Eastern Illinois
Eastern Kentucky,Eastern Kentucky
Eastern Michigan,Eastern Michigan
Eastern Washington,Eastern Washington
Elon,Elon
Evansville,Evansville
Fairfield,Fairfield
Fairleigh Dickinson,Fairleigh Dickinson
Florida,Florida
Florida A&M,Florida A&M
Florida Atlantic,Florida Atlantic
Florida Gulf Coast,Florida Gulf Coast
FIU,Florida International
Florida St.,Florida State
Fordham,Fordham
Fresno St.,Fresno State
Furman,Furman
Gardner Webb,Gardner-Webb
George Mason,George Mason
George Washington,George Washington
Georgetown,Georgetown
Georgia,Georgia
Georgia Southern,Georgia Southern
Georgia St.,Georgia State
Georgia Tech,Georgia Tech
Gonzaga,Gonzaga
Grambling St.,Grambling
Grand Canyon,Grand Canyon
Green Bay,Green Bay
Hampton,Hampton
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
High Point,High Point
Hofstra,Hofstra
Holy Cross,Holy Cross
Houston,Houston
Houston Baptist,Houston Baptist
Howard,Howard
Idaho,Idaho
Idaho St.,Idaho State
Illinois,Illinois
Illinois St.,Illinois State
Incarnate Word,Incarnate Word
Indiana,Indiana
Indiana St.,Indiana State
Iona,Iona
Iowa,Iowa
Iowa St.,Iowa State
Fort Wayne,IPFW
IPFW,IPFW
IUPUI,IUPUI
Jackson St.,Jackson State
Jacksonville,Jacksonville
Jacksonville St.,Jacksonville State
James Madison,James Madison
Kansas,Kansas
Kansas St.,Kansas State
Kennesaw St.,Kennesaw State
Kent St.,Kent State
Kentucky,Kentucky
La Salle,La Salle
Lafayette,Lafayette
Lamar,Lamar
Lehigh,Lehigh
Liberty,Liberty
Lipscomb,Lipscomb
LIU Brooklyn,LIU-Brooklyn
Long Beach St.,Long Beach State
Longwood,Longwood
Louisiana Tech,Louisiana Tech
Louisiana Lafayette,Louisiana-Lafayette
Louisiana Monroe,Louisiana-Monroe
Louisville,Louisville
Loyola Chicago,Loyola (IL)
Loyola MD,Loyola (MD)
Loyola Marymount,Loyola Marymount
LSU,LSU
Maine,Maine
Manhattan,Manhattan
Marist,Marist
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
Maryland Eastern Shore,Maryland-Eastern Shore
McNeese St.,McNeese State
Memphis,Memphis
Mercer,Mercer
Miami FL,Miami (FL)
Miami OH,Miami (OH)
Michigan,Michigan
Michigan St.,Michigan State
Middle Tennessee,Middle Tennessee
Middle Tennessee St.,Middle Tennessee
